case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
16-1094,1,0,9,0.0,,5.0,,
16-1498,1,3,10,0.3,6.0,5.0,1.0,1.0
17-1026,1,2,6,0.3333333333333333,1.0,5.0,-4.0,-64.0
17-1094,1,6,12,0.5,6.0,6.0,0.0,0.0
17-1104,0,2,11,0.18181818181818182,5.0,4.0,1.0,1.0
17-1174,1,4,14,0.2857142857142857,4.0,5.0,-1.0,-1.0
17-1184,0,1,2,0.5,2.0,6.0,-4.0,-64.0
17-1229,0,8,11,0.7272727272727273,6.0,5.0,1.0,1.0
17-1272,1,9,5,1.8,6.0,5.0,1.0,1.0
17-1307,0,12,9,1.3333333333333333,6.0,6.0,0.0,0.0
17-1498,1,0,12,0.0,,4.0,,
17-1594,1,1,12,0.08333333333333333,3.0,5.0,-2.0,-8.0
17-1606,1,0,0,,,,,
17-1618,0,1,0,,3.0,,,
17-1672,0,3,6,0.5,5.0,6.0,-1.0,-1.0
17-1678,0,4,8,0.5,4.0,6.0,-2.0,-8.0
17-1705,1,13,6,2.1666666666666665,4.0,6.0,-2.0,-8.0
17-1712,0,7,33,0.21212121212121213,5.0,5.0,0.0,0.0
17-1717,1,14,16,0.875,6.0,5.0,1.0,1.0
17-290,1,1,0,,3.0,,,
17-419,1,2,10,0.2,2.0,5.0,-3.0,-27.0
17-5554,0,3,3,1.0,5.0,5.0,0.0,0.0
17-646,0,6,6,1.0,6.0,4.0,2.0,8.0
17-647,1,1,9,0.1111111111111111,4.0,4.0,0.0,0.0
17-765,1,0,12,0.0,,5.0,,
17-773,1,6,20,0.3,5.0,2.0,3.0,27.0
17-834,1,5,13,0.38461538461538464,5.0,6.0,-1.0,-1.0
17-8995,0,4,6,0.6666666666666666,5.0,5.0,0.0,0.0
17-9572,1,3,9,0.3333333333333333,2.0,6.0,-4.0,-64.0
17-961,0,0,21,0.0,,5.0,,
17-988,1,7,1,7.0,5.0,4.0,1.0,1.0
18-1023,1,0,11,0.0,,5.0,,
18-1059,1,1,0,,3.0,,,
18-1086,1,4,0,,3.0,,,
18-1109,0,15,14,1.0714285714285714,5.0,3.0,2.0,8.0
18-1150,0,1,25,0.04,4.0,6.0,-2.0,-8.0
18-1195,1,0,22,0.0,,5.0,,
18-1233,1,5,24,0.20833333333333334,2.0,5.0,-3.0,-27.0
18-1334,1,5,0,,3.0,,,
18-281,1,1,12,0.08333333333333333,3.0,4.0,-1.0,-1.0
18-302,0,2,15,0.13333333333333333,4.0,6.0,-2.0,-8.0
18-315,0,12,0,,6.0,,,
18-328,0,10,18,0.5555555555555556,4.0,5.0,-1.0,-1.0
18-389,1,0,10,0.0,,5.0,,
18-459,0,11,24,0.4583333333333333,2.0,6.0,-4.0,-64.0
18-485,1,2,7,0.2857142857142857,4.0,5.0,-1.0,-1.0
18-525,0,8,1,8.0,5.0,3.0,2.0,8.0
18-556,1,0,16,0.0,,7.0,,
18-565,0,3,5,0.6,5.0,3.0,2.0,8.0
18-587,1,8,21,0.38095238095238093,5.0,5.0,0.0,0.0
18-5924,1,5,7,0.7142857142857143,3.0,6.0,-3.0,-27.0
18-6135,0,9,6,1.5,6.0,5.0,1.0,1.0
18-6210,1,3,10,0.3,5.0,2.0,3.0,27.0
18-6662,0,4,10,0.4,6.0,4.0,2.0,8.0
18-6943,1,1,2,0.5,3.0,5.0,-2.0,-8.0
18-725,0,16,3,5.333333333333333,5.0,4.0,1.0,1.0
18-726,1,15,28,0.5357142857142857,6.0,5.0,1.0,1.0
18-7739,1,0,9,0.0,,4.0,,
18-776,1,2,17,0.11764705882352941,5.0,5.0,0.0,0.0
18-801,0,12,2,6.0,6.0,4.0,2.0,8.0
18-877,0,3,6,0.5,5.0,6.0,-1.0,-1.0
18-935,0,3,1,3.0,6.0,3.0,3.0,27.0
18-938,0,5,3,1.6666666666666667,6.0,5.0,1.0,1.0
19-161,1,3,9,0.3333333333333333,5.0,5.0,0.0,0.0
19-177,1,2,5,0.4,2.0,4.0,-2.0,-8.0
19-267,1,3,6,0.5,5.0,2.0,3.0,27.0
19-431,1,5,3,1.6666666666666667,2.0,2.0,0.0,0.0
19-46,0,3,2,1.5,4.0,3.0,1.0,1.0
19-465,0,6,3,2.0,5.0,3.0,2.0,8.0
19-518,1,4,3,1.3333333333333333,5.0,3.0,2.0,8.0
19-635,0,9,14,0.6428571428571429,5.0,5.0,0.0,0.0
19-67,1,5,10,0.5,5.0,6.0,-1.0,-1.0
2020_18-1259,0,5,2,2.5,6.0,3.0,3.0,27.0
2020_18-956,1,6,1,6.0,4.0,2.0,2.0,8.0
2020_19-1039,1,3,2,1.5,2.0,2.0,0.0,0.0
2020_19-108,1,9,3,3.0,4.0,4.0,0.0,0.0
2020_19-1189,1,8,10,0.8,5.0,4.0,1.0,1.0
2020_19-1231,1,9,5,1.8,4.0,4.0,0.0,0.0
2020_19-1257,1,6,5,1.2,4.0,6.0,-2.0,-8.0
2020_19-1434,1,0,0,,,,,
2020_19-1442,1,2,3,0.6666666666666666,3.0,3.0,0.0,0.0
2020_19-199,1,2,8,0.25,1.0,6.0,-5.0,-125.0
2020_19-292,1,3,6,0.5,3.0,4.0,-1.0,-1.0
2020_19-309,1,6,5,1.2,4.0,4.0,0.0,0.0
2020_19-357,1,3,4,0.75,5.0,2.0,3.0,27.0
2020_19-368,0,5,5,1.0,5.0,2.0,3.0,27.0
2020_19-416,1,2,4,0.5,5.0,4.0,1.0,1.0
2020_19-422,1,8,0,,4.0,,,
2020_19-438,0,3,6,0.5,3.0,5.0,-2.0,-8.0
2020_19-508,1,3,2,1.5,4.0,3.0,1.0,1.0
2020_19-511,1,4,10,0.4,3.0,4.0,-1.0,-1.0
2020_19-546,1,3,3,1.0,2.0,5.0,-3.0,-27.0
2020_19-5807,0,5,1,5.0,4.0,4.0,0.0,0.0
2020_19-71,0,5,5,1.0,5.0,5.0,0.0,0.0
2020_19-783,1,8,4,2.0,3.0,5.0,-2.0,-8.0
2020_19-863,0,10,6,1.6666666666666667,6.0,3.0,3.0,27.0
2020_19-8709,0,3,3,1.0,3.0,3.0,0.0,0.0
2020_20-157,1,24,2,12.0,6.0,3.0,3.0,27.0
2020_20-18,1,7,6,1.1666666666666667,4.0,3.0,1.0,1.0
2020_20-222,1,8,9,0.8888888888888888,3.0,4.0,-1.0,-1.0
2020_20-334,0,7,6,1.1666666666666667,6.0,2.0,4.0,64.0
2020_20-366,1,6,10,0.6,3.0,5.0,-2.0,-8.0
2020_20-382,1,2,5,0.4,3.0,4.0,-1.0,-1.0
2020_20-472,1,6,11,0.5454545454545454,2.0,6.0,-4.0,-64.0
2020_20-512,0,2,5,0.4,6.0,3.0,3.0,27.0
2020_20-543,1,7,10,0.7,4.0,6.0,-2.0,-8.0
2020_20-5904,0,5,3,1.6666666666666667,3.0,4.0,-1.0,-1.0
2020_65-orig,0,0,0,,,,,
2021_143-orig,0,5,4,1.25,4.0,4.0,0.0,0.0
2021_19-1401,1,4,0,,3.0,,,
2021_20-1029,1,4,13,0.3076923076923077,3.0,4.0,-1.0,-1.0
2021_20-1143,1,15,0,,5.0,,,
2021_20-1263,0,6,17,0.35294117647058826,3.0,4.0,-1.0,-1.0
2021_20-1472,1,13,19,0.6842105263157895,4.0,6.0,-2.0,-8.0
2021_20-219,0,2,10,0.2,3.0,4.0,-1.0,-1.0
2021_20-303,1,4,8,0.5,2.0,3.0,-1.0,-1.0
2021_20-443,1,7,4,1.75,5.0,5.0,0.0,0.0
2021_20-5279,1,1,4,0.25,1.0,3.0,-2.0,-8.0
2021_20-637,1,6,1,6.0,2.0,3.0,-1.0,-1.0
2021_20-659,1,7,9,0.7777777777777778,5.0,5.0,0.0,0.0
2021_20-804,1,2,3,0.6666666666666666,3.0,3.0,0.0,0.0
2021_20-826,1,1,4,0.25,4.0,4.0,0.0,0.0
2021_20-827,1,6,1,6.0,3.0,3.0,0.0,0.0
2021_20-828,1,14,18,0.7777777777777778,3.0,4.0,-1.0,-1.0
2021_20-915,1,7,31,0.22580645161290322,4.0,6.0,-2.0,-8.0
2021_20-979,0,10,6,1.6666666666666667,3.0,4.0,-1.0,-1.0
2021_21-463,1,11,14,0.7857142857142857,4.0,6.0,-2.0,-8.0
2021_21-5592,1,28,8,3.5,5.0,4.0,1.0,1.0
2022_156-orig,0,0,0,,,,,
2022_21-1052,0,19,11,1.7272727272727273,6.0,2.0,4.0,64.0
2022_21-1086,0,10,2,5.0,5.0,3.0,2.0,8.0
2022_21-1158,1,0,4,0.0,,4.0,,
2022_21-1170,1,3,13,0.23076923076923078,2.0,3.0,-1.0,-1.0
2022_21-1436,1,12,19,0.631578947368421,5.0,3.0,2.0,8.0
2022_21-1484,1,0,0,,,,,
2022_21-1496,1,3,18,0.16666666666666666,1.0,6.0,-5.0,-125.0
2022_21-1576,0,0,10,0.0,,4.0,,
2022_21-376,1,0,0,,,,,
2022_21-432,0,1,2,0.5,4.0,4.0,0.0,0.0
2022_21-454,0,21,13,1.6153846153846154,6.0,5.0,1.0,1.0
2022_21-468,1,10,9,1.1111111111111112,3.0,5.0,-2.0,-8.0
2022_21-476,1,6,9,0.6666666666666666,2.0,5.0,-3.0,-27.0
2022_21-846,1,0,1,0.0,,4.0,,
2022_21-869,0,21,0,,5.0,,,
2022_21-908,0,5,0,,2.0,,,
2022_21-984,1,13,26,0.5,4.0,6.0,-2.0,-8.0
2022_22-10,1,2,5,0.4,2.0,5.0,-3.0,-27.0
2022_22-138,1,8,4,2.0,5.0,2.0,3.0,27.0
2022_22-166,1,0,2,0.0,,2.0,,
2022_22-174,1,26,18,1.4444444444444444,2.0,3.0,-1.0,-1.0
2022_22-179,1,12,2,6.0,5.0,4.0,1.0,1.0
2022_22-196,0,6,8,0.75,4.0,4.0,0.0,0.0
2022_22-200,1,16,14,1.1428571428571428,5.0,5.0,0.0,0.0
2022_22-210,1,0,1,0.0,,3.0,,
2022_22-227,0,2,1,2.0,5.0,5.0,0.0,0.0
2022_22-23,0,20,28,0.7142857142857143,6.0,5.0,1.0,1.0
2022_22-381,0,4,7,0.5714285714285714,3.0,5.0,-2.0,-8.0
2022_22-49,1,4,18,0.2222222222222222,5.0,4.0,1.0,1.0
2023_22-1078,0,0,1,0.0,,3.0,,
2023_22-1218,1,0,2,0.0,,4.0,,
2023_22-1219,1,8,28,0.2857142857142857,2.0,6.0,-4.0,-64.0
2023_22-340,0,26,18,1.4444444444444444,5.0,4.0,1.0,1.0
2023_22-448,1,5,9,0.5555555555555556,2.0,5.0,-3.0,-27.0
2023_22-500,1,20,16,1.25,3.0,4.0,-1.0,-1.0
2023_22-585,0,10,6,1.6666666666666667,6.0,3.0,3.0,27.0
2023_22-611,1,10,4,2.5,5.0,4.0,1.0,1.0
2023_22-6389,0,15,9,1.6666666666666667,6.0,3.0,3.0,27.0
2023_22-660,1,11,12,0.9166666666666666,3.0,4.0,-1.0,-1.0
2023_22-666,1,8,33,0.24242424242424243,2.0,5.0,-3.0,-27.0
2023_22-674,0,12,0,,5.0,,,
2023_22-704,1,5,10,0.5,3.0,5.0,-2.0,-8.0
2023_22-721,1,13,6,2.1666666666666665,4.0,5.0,-1.0,-1.0
2023_22-800,0,11,20,0.55,6.0,2.0,4.0,64.0
2023_22-846,0,22,37,0.5945945945945946,4.0,6.0,-2.0,-8.0
2023_22-859,0,32,10,3.2,5.0,6.0,-1.0,-1.0
2023_22-888,1,39,6,6.5,5.0,1.0,4.0,64.0
2023_22-899,1,9,6,1.5,5.0,2.0,3.0,27.0
2023_22-913,1,0,9,0.0,,2.0,,
2023_22-915,1,6,4,1.5,2.0,4.0,-2.0,-8.0
2023_22-976,1,9,29,0.3103448275862069,5.0,4.0,1.0,1.0
2023_23-108,1,8,47,0.1702127659574468,3.0,6.0,-3.0,-27.0
2023_23-14,0,5,4,1.25,5.0,1.0,4.0,64.0
2023_23-175,1,14,4,3.5,5.0,4.0,1.0,1.0
2023_23-21,1,0,4,0.0,,5.0,,
2023_23-235,1,2,0,,2.0,,,
2023_23-250,1,14,24,0.5833333333333334,3.0,4.0,-1.0,-1.0
2023_23-3,1,10,5,2.0,2.0,3.0,-1.0,-1.0
2023_23-334,1,6,12,0.5,4.0,6.0,-2.0,-8.0
2023_23-367,1,0,9,0.0,,5.0,,
2023_23-51,1,15,12,1.25,4.0,3.0,1.0,1.0
2023_23-5572,1,3,9,0.3333333333333333,5.0,4.0,1.0,1.0
2023_23-719,1,12,11,1.0909090909090908,1.0,6.0,-5.0,-125.0
2023_23A349,1,0,20,0.0,,6.0,,
2024_23-1226,1,0,8,0.0,,3.0,,
2024_23-191,1,7,9,0.7777777777777778,3.0,6.0,-3.0,-27.0
2024_23-583,0,0,5,0.0,,4.0,,
2024_23-677,0,14,7,2.0,3.0,2.0,1.0,1.0
2024_23-867,1,0,10,0.0,,5.0,,
2024_23-997,0,0,10,0.0,,2.0,,
2024_24-20,1,18,0,,1.0,,,
