case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2019_19-715,j__clarence_thomas,20,"Well, it said --",patrick_strawbridge,"Well, I think -- I think that we -- we don't quarrel with the general notion that Congress has some implied power to exercise its legislative powers.
And we don't -- and we recognize that in some cases Congress has been able to seek information that would be directly relevant to its consideration of potential legislation. But, as the D.C. Circuit recognized in Senate Select Committee and Judge Livingston recognized below, most often, that's going to take the view of forward-looking information, perhaps aggregated information, and not an attempt to, you know, reassemble a precise factual history --",0,0
2019_19-715,j__clarence_thomas,22,"-- in the D -- in the D.C. Circuit opinion, it says that this sort of information or subpoena should be requested under the impeachment power. What's the line between the -- a subpoena, a legislative subpoena, and a -- an impeachment-related subpoena?",patrick_strawbridge,-- of precisely what --,0,0
2019_19-715,j__clarence_thomas,76,"Mr. Wall, what if, following up on the Chief Justice's question, what if it was clear from those statements that you reviewed that their intention was actually to remove the President from office rather than the sort of pretextual reason that it is for legislative -- pre-textual legislative reasons?",jeffrey_b_wall,"No, Mr. Chief Justice.
I want to be clear.
I don't think any of that would be permissible. All we are saying is that you should review the subpoena on the basis of the contemporaneous objective record that is the basis for the legislative subpoenas themselves. So we have not in our brief turned to legislative statements.
We haven't said that they should be able to get discovery into their mental processes or anything of the like. We have said that Chairman Cummings' memo shows the objective purpose's wrongdoing, but more important, I would just point to the mismatch between the breadth and duration of the subpoenas and their asserted purposes. I think, with respect to all three, they -- they don't -- they're just -- they don't match up with what the committees say they're doing if you look at the information they're seeking.",2,0
2019_19-715,j__clarence_thomas,78,Thank you.,jeffrey_b_wall,"I -- I do think, if you look at the statements, and we haven't urged that, but if you do, yes, I -- I think they make clear that the subpoenas are not in aid of valid legislation. That's the only enumerated power to which Congress has pointed here.
The House has not relied on impeachment.
And so you would simply just say the subpoenas are invalid. And to tie that into Justice Gorsuch's question earlier, I -- I think we're not asking to go back and look at -- at what they said or probe their mental processes.
I'm just saying, if you look at pages 46 and 54 of the red brief and you look at what they actually say about their intended legislative proposals and then why they need the document, it's paper thin. They don't give you any specifics on what they're thinking about doing or any specifics on why they need the documents.
And that's not an accident.
It's not the product of carelessness or thought -- thoughtlessness.
It is because the purpose here is to expose wrongdoing.
And the House has never really tried to substantiate why it needs these documents in service of its legislative powers.",2,0
2019_19-715,j__clarence_thomas,131,"Yes.
Thank you, Chief Justice. Mr. Letter, I'd like you to discuss the -- how the power, the legislative subpoena power, is implied or how we arrive at that power, because I think that's part of why we're wandering around in the wilderness trying to determine what standards we are to use.",douglas_n_letter,"Yes, I do, Your Honor. And I'm -- by the way, the test that I'm referring you to was the test that this Court had set about pertinent to a legislative purpose.
But, Your Honor, it's -- it's what this Court said in Nixon versus GSA and a -- and a number of other cases. Congress -- there would be a limit if Congress is interfering with the President's ability to carry out his Article II functions. No such claim has been made here, nor, obviously, can it be made given --",1,0
2019_19-715,j__clarence_thomas,133,"Can you give an example, another example of a power that -- a legislative power that is implied?",douglas_n_letter,"Your Honor, this -- this Court has explained in -- in quite a few cases -- I think Watkins, Barenblatt, others -- that the Congress's legislative power, which -- I mean investigative power, which stems from the British parliament's power, is an obvious and integral part of legislation. We obviously can't have Congress passing legislation in -- in ignorance.
And this Court has said, for instance, most recently in Franchise Tax Board, that just because a power is -- is something to be implied doesn't mean that it's not important. For instance, this Court's power of judicial review, that's nowhere mentioned in the Constitution.
So the -- the power to investigate --",1,0
2019_19-715,j__clarence_thomas,135,"That's okay.
The -- can you give me the earliest example you have of Congress issuing a legislative subpoena?",douglas_n_letter,"The -- the -- I'm sorry, Your Honor, I'm not coming up with something right now off the -- the tip of my tongue.",1,0
2019_19-715,j__clarence_thomas,137,What's the first example of Congress issuing a legislative subpoena to a private party for private documents?,douglas_n_letter,"The -- the Congress investigated the -- the St. Clair expedition. It didn't actually issue a subpoena in that case but its equivalent of the time.
And President Washington consulted with his closest advisors and decided to provide Congress with every single thing that it requested. So that was just several years into the --",1,0
2019_19-715,j__clarence_thomas,139,Thank you.,douglas_n_letter,"The -- I'm sorry, Your Honor.
The -- the Watkins decision has a lengthy discussion of that.
I don't have off the top of my head the very first one.
But my memory is that this Court describes that in great detail in Watkins.",1,0
2019_19-715,j__clarence_thomas,215,"Yes.
I'd like to follow up on that, Mr. Chief Justice. Mr. Letter, the -- that's -- you know, at some point, there's a straw that breaks the camel's back, and it seems as though you're saying that we should look at these in isolation as opposed to in aggregate -- in the aggregate. Why wouldn't we look at all of them and look at the -- the full effect and whether at some point it debilitates the President?",douglas_n_letter,"Your Honor, I think what you would do is, if these were subpoenas from the House and the Senate, a massive number of them, going to the -- the White House, then there certainly would be at a certain point where it would affect the ability of the White House and the President to function.
There's no doubt about that. But these subpoenas are to three private businesses involving --",1,0
2019_19-715,j__clarence_thomas,217,"Why would it be limited to the House and the Senate? I mean, it could be every grand jury.
It could be every prosecutor.
The concern that we had in the Clinton case is, at some point, this thing -- it gets out of control, as one -- one could be manageable, but 100 could be impossible.",douglas_n_letter,"Your Honor, I'm sorry, I -- I must have misspoken.
I meant to answer the Chief Justice's question by saying, yes, if there are a massive number of subpoenas from the House and the Senate to the White House, and -- and the White House can come in and say: Look, we -- we can't do anything.
All we're doing is answering subpoenas all day long.
This is -- is impacting the ability of the President to do his job.",1,0
2019_19-715,j__clarence_thomas,220,"Well, I think we all know it's about the President.",douglas_n_letter,"And Your -- Your Honor is right.
And, therefore, if there were -- if our subpoenas were on top of numerous others from grand juries around the United States, you could look at that.
But let me emphasize one more time, our subpoenas are -- the three are not to the President.
They are to private business entities.
Nothing is required of the President here to -- for these subpoenas to be fully complied with.
Not a single thing is required of the President or the White House.",1,0
2019_19-635,j__clarence_thomas,15,"Yes, counsel, just a couple of questions.
I'm interested in whether or not you can point us to some express language at the founding or during the ratification process that provides for this immunity.",jay_alan_sekulow,"Well, Clinton versus Jones, of course, was in federal court.
This is in state court. Clinton versus Jones was a civil case. This is a criminal case.
And as this Court noted on page 691 of its opinion, if, in fact, the Clinton versus Jones case had originated in a state court proceeding, it would raise different issues than separation of powers, concerns over local prejudice, and in Footnote 13, this Court said that any direct control by a state court over the President may implicate concerns that are different than either branch disputes under separation of powers.
So it would be a --",0,1
2019_19-635,j__clarence_thomas,17,Does it make a difference when a subpoena goes to a third-party?,jay_alan_sekulow,"Well, there -- there's a couple.
There was a colloquy between Vice President -- well, ultimately, Vice President Adams and Senator Ellsworth where they talked about process against the President and they took the position that any process against the President would be constitutionally problematic. Thomas Jefferson, of course, wrote in the letters he had regarding subpoenas that were issued in the Burr trial that allowing local magistrates to banter about a sitting President from north to south and east to west would interfere with the President's responsibilities. And as this Court just -- in the previous argument just stated, the burdensome nature of this is categorical.
It's not -- you can't just look at the one subpoena.
It is the potential for 2300 DAs, or just 1 percent of them, 23 DAs, issuing process against a president. But the concern over interference from our founding with the President's responsibilities was discussed, and that's why in the Constitution there's process to deal with it.",0,1
2019_19-635,j__clarence_thomas,19,Thank you.,jay_alan_sekulow,"Certainly not here. Number one, they've -- the Respondents have either forfeited or waived it.
They have conceded in their brief that they -- they are seeking the President's documents.
These are the President's documents.
He is the real party in interest, and he has the burden, including review with his counsel, over any existing privileges and what these documents might entail.",0,1
2019_19-635,j__clarence_thomas,101,"Yes.
General Francisco, the -- you mentioned the level of threat to the President or burden on the President.
How do we determine that, when it's too much?",noel_j_francisco,"Well, Your Honor, I think that in both instances the argument would be available to an article -- you -- you would be able to make that argument to an Article II federal court.
Under our argument, if the court found that the prosecutor hadn't met the Nixon special needs standard, it wouldn't need to address the broader immunity question. If it did find that the special -- that the district attorney met the special needs standard, it would have to then address the broader immunity question.
And all we are saying is that, unless and until the special need issue is addressed at the threshold, there's no need to address the broader immunity question in this case.",2,1
2019_19-635,j__clarence_thomas,103,Thank you.,noel_j_francisco,"Well, Your Honor, here, I think there are a couple of things that you can take into account. First, the fact that we're in state court, I think, is quite significant.
Local prosecutors are necessarily going to put more emphasis on local interests than national ones. It simply reflects the manner in which they rise to office through elections by local, relatively homogenous political communities. And in New York State, I would also add that the trial court judges are elected in a similar way. So, there, you've already got this risk of local prejudice.
And so what the special needs standard does is -- is that it ensures that there's a federal court that's available to balance the local interests against the national ones, including the President's need to do his job. And then, secondly, it also has to do with the ordinary grand jury rules that would apply to a local prosecutor exercising his authority.
Those rules were not designed to and they're not sufficient to protect Article II interests since, under ordinary grand jury rules, a district attorney never has to make a particularized showing of need. Instead, the burden is on the witness to show that the subpoena can have no conceivable relevance to any plausible subject of an investigation. Now that is a perfectly appropriate standard in the ordinary case, but the reason why Nixon applied the special needs standard above and beyond the ordinary rules of criminal procedure was because the Court recognized that the President is the sole person in whom all Article II powers are vested. And so he is entitled to a measure of protection above and beyond the ordinary rules. And the special needs standard is one of those measures of protection. To put -- point back to Justice Breyer's very persuasive concurrence in Clinton against Jones, I think Justice Breyer correctly predicted that this Court would need to develop special protective procedures precisely for the President in the context of litigation like this.",2,1
2019_19-635,j__clarence_thomas,160,"Thank you, Mr. Chief Justice. Mr. Dunne, you were about to say how DOJ's approach would harm the grand jury process.
Would you finish that?",carey_r_dunne,"Yes.
I -- I -- I think we believe that a prosecutor, if there's been an -- an affirmative showing by -- by a president of an Article II burden, and, of course, the courts have below held that there has not been such a showing here, but if in a different case there was such a showing made, we believe a prosecutor should be required to show, one, an objective basis for the investigation and, two, a reasonable probability the request would yield relevant information. We think language like that would be more consistent with past cases of this Court and with the realities of a grand jury investigation. And, frankly, the courts below also already found that we've met that standard here. The -- the problem is that the alternative of requiring a state prosecutor to get permission first from a federal judge for any request relating to a president's business activities would undermine this Court's prior rulings, like the one in R Enterprises that a grand jury shouldn't be burdened by procedural challenges and delays because it's a confidential process and not an adversarial proceeding.
And the DOJ's new standard just ignores that. The other problem --",1,1
2019_19-635,j__clarence_thomas,162,So what -- what limits a grand jury process in -- in New York? What are the limits?,carey_r_dunne,"Yes.
And I think I was just addressing that, Justice Thomas.
That is, you know, to require us in any given case to run to -- across the street to federal court and say, by the way, we have an investigation underway, it happens to touch on a president's prior business transactions in which he and others were involved in, and we'd like to get permission to send a subpoena for records that are in either the possession of a president or maybe the president's agents, like his accounting firm here, again, it completely upends the way that a grand jury process is supposed to work. If I might, the second big problem I think with the DOJ's analysis is that the language that they've chosen just doesn't work, contrary to why as to what I just set out, because it only applies in the context of a trial subpoena. It calls for a ""stringent showing"" that the request is ""directly relevant to central issues at trial and charging decisions."" Again, that language just doesn't apply in the context of a grand jury when no charging decisions have been made. So that's why the -- the formulation that we've suggested, I think, would be more consistent with what's needed in a grand jury context.
But, again, we think that is utterly unnecessary here to apply in our case because, A, there's already been a finding of no Article II burden, and, B, we have already met the standard by the -- by the district court's finding that our -- our investigation is well-founded and brought in good faith. So I don't think this --",1,1
2019_19-635,j__clarence_thomas,164,"What if you thought it was -- the President said it was impossible for him to do his job, as opposed to just being burdened? Would that -- would we have a role to limit or somehow end the grand jury process?",carey_r_dunne,"Well, the limits are, I think, the same basically as they are in federal court and most other states, Your Honor.
I mean, yes, a -- the recipient of a subpoena who has a basis to argue either a privilege or a burden of some sort has the right, as the President did here, to go into court and make those factual arguments that it's -- that's -- that either it should be quashed or -- or constrained in some fashion.
It is -- there is -- there's a grand jury judge who supervises all grand juries and their activities, who's always available here. But I think the more important point perhaps, Your Honor, is that, obviously, given the decision of the court of appeals below in this case, and to address that concern in that footnote in -- in -- in -- in Clinton, at this point, it's clear that a president, in particular, who has a concern about this kind of impact on Article II duties now always has the ability to go into federal court and not into state court, which was the main concern in that footnote in Clinton.",1,1
2019_19-635,j__clarence_thomas,166,Thank you.,carey_r_dunne,"Absolutely, Your Honor.
I mean, I think that's -- that's the point of the case-specific analysis, is -- is that it gives a -- a court, and here a federal court, to hear a concern like that expressed, and if the concern is -- you know, if somehow this shuts my office down or is -- is a real burden, it's not just a speculative mental distraction claim, then, yes, the courts are empowered to impose a wide variety of limitations, including, if necessary, to shut an investigation down or to shut a subpoena or a litigation down. That's the beauty of this Court's prior decisions in Nixon and Clinton and others, which have decided consistently to apply the case-specific analysis and -- and -- and have rejected the notion that this is best treated with a categorical prophylactic rule. I just think that that's not appropriate here when it's all so case-specific.",1,1
2019_19-635,j__clarence_thomas,254,"One brief question, Mr. Dunne.
There's been much discussion about burdens on the President.
I'd like from you a couple of specific examples of what you think a burden would be that actually counts in your analysis on the part of the President.",carey_r_dunne,"Yes, I know, Your Honor. And -- and, therefore, the answer in that case is what's happened here, which is a case-specific analysis before a court, which, as they do all the time, is able to balance and listen to arguments about burdens. And, as here, when the court finds there's no Article II burden whatsoever, after an opportunity to be heard, that should be the answer.
And -- and that's what's happened here.",1,1
2019_19-635,j__clarence_thomas,256,I understand that.,carey_r_dunne,"Well, I guess, Your Honor, again, hypothetically, because our -- our subpoena imposes, we say, no burden whatsoever.",1,1
2019_19-46,j__clarence_thomas,15,"Yes, Ms. Ross.
The -- a couple of questions. The -- could Booking acquire an 800 number, for ex -- that's a vanity number, 1-800-booking, for example, that is similar to, for -- 1-800-plumbing, which is a registered mark?",erica_l_ross,-- that the decision --,0,0
2019_19-46,j__clarence_thomas,17,"Well, the -- that -- that -- that could be true, but the -- I'd like you to compare this to Goodyear.
In Goodyear, you had a generic term, but you also had added a term such as company or inc., which any company could use. Now, with booking, here, there can only be one domain address "".com."" So this would seem to be more analogous to the 1-800 numbers, which are also individualized.",erica_l_ross,"So, Justice Thomas, under the Federal Circuit's decisions, yes, it could. Those decisions, I think, may -- are -- are sort of debatable under Goodyear and the principles that we think control here, but the Federal Circuit -- the PTO, rather, does follow those decisions because of the right of direct appeal to the Federal Circuit from PTO decisions. Now I think it's significant that those are distinguishable in the sense that the core problem with Booking.com is that it allows Respondent to monopolize booking on the Internet because of the fact that longer domain names of Respondent's competitors, like ebooking.com and hotelbooking.com, can include Booking.com.
That is not as obviously true of something like 1-800-booking.",0,0
2019_19-46,j__clarence_thomas,96,"Thank -- thank you, Chief. The -- just getting back to the Chief's question, Ms. Blatt, you -- you seem to rely almost exclusively on the primary significance test.
Do you need that test in order to prevail here?",lisa_s_blatt,"Yes.
So let me get to the third reason, which I think is the legal reason in terms of why it doesn't crowd out.
The more descriptive a mark is, the harder it is for that mark to show a likelihood of confusion, a requisite element in any infringement claim. And the ease with --",1,0
2019_19-46,j__clarence_thomas,98,Yeah.,lisa_s_blatt,"No, because, regardless of what you think of our test, the government can't be right because three statutory provisions that don't mention primary significance test overrule, repudiate, abrogate, and completely eradicate any notion that you could have a per se rule that would ignore what consumers think, which is why the Court in Qualitex didn't need some primary significance test; it just said you look at -- you don't have the common law per se bar against trademarking colors; it's just a factual question about what consumers think.
Do they find the mark useful? And so we -- we win under three provisions. I think the other problem, even putting aside those three provisions, Justice Thomas, is that there's a whole separate problem the government has, that there are two provisions that require courts to look to how consumers would view the mark as a whole and not its component parts. And so you can't just think because ""Wine Company"" -- ""wine"" is generic, ""company"" is generic, ""Wine Company"" is generic.
And that's the same, you know, with the word ""container"" and the word ""store."" You put the two together.
""Booking"" or "".com,"" you put the two together and you have to -- you have to look at the way consumers would view that as a whole. That also abrogates a per se rule. So you don't even need to mention primary significance to know that the government is wrong.
It just so happens that every court has always said the primary significance test governs.",1,0
2019_19-46,j__clarence_thomas,100,"So do you make a -- the government relies on Goodyear, and you say that, of course, there's been a sea change in trademark law since Goodyear, particularly with the Lanham Act. Would you just explain briefly how you think the Lanham Act has expanded the trademark law and what is protected and what is not protected?",lisa_s_blatt,"The PTO's manual says it. It's the test that was applied in this case. And if I could turn to something that I think is pretty devastating for the government, is their appendix. Their appendix of rejected marks is not based on Goodyear.
It's based on the primary significance test.
Go look at the records in ad.com, bedandbreakfast.com, bookkeeping.com, limousine.com, newspaperarchive.com.
There's no Goodyear. It's the primary significance that looks at extensive evidentiary record about how consumers would perceive the mark. Now our appendix is not -- it's the same.
It's not based on mistakes.
Weather.com, tickets.com, dating.com, wrestlingfigures.com, and another bed and breakfast mark, the PTO looked at extensive evidence.
It wasn't some lazy PTO officer.
It was someone looking at the primary significance test and saw, wow, I'm seeing that consumers really see weather.com as distinctive, it deserves registration. So the status quo is the primary significance test.
And that's what has been -- you know, I think this also should give the Chief and Justice Thomas some comfort that most marks flunk the primary significance test, but some don't.",1,0
2019_19-177,j__clarence_thomas,13,"Mr. Michel, the Respondent seems to argue that your guidelines on -- your affiliate guidelines actually support their argument.
What do you think of that?",christopher_g_michel,-- wanted to note --,0,1
2019_19-177,j__clarence_thomas,15,"When this case was here last, I seem to remember it was about the domestic organization.
The -- what has changed since it was here? The -- there was very little talk. The only time that affiliates actually came up was as an alternative to the enforcement procedures that were being used toward the domestic organizations then. So what has changed since this case was here last?",christopher_g_michel,"Justice Thomas, I -- I don't think that they do as -- as an initial matter and, even if they did, I think that would, at most, be a basis for challenging the guidelines, not -- not the constitutionality of the statute. And to start with the first point, the guidelines, which are reproduced at -- at pages 1A through 3A of our reply brief, simply provide that an entity can affiliate with a separate entity that has a different policy on prostitution and sex trafficking if it meets certain requirements, and -- and there are five non-exhaustive requirements spelled out there. Four of those would generally be satisfied by an entity that has legal separation.
So I think it would be a rare circumstance that these regulations would ever result in the denial of funding to a foreign affiliate. And -- and to make one related point, Respondents themselves are no longer subject to the policy requirement as a result of their prior decision in this case.
So, if they run afoul of these regulations, which simply interpret what it means to have a policy opposing prostitution and sex trafficking, these regulations can't be a mechanism for depriving the Respondents themselves of funds.",0,1
2019_19-177,j__clarence_thomas,17,Thank you.,christopher_g_michel,"Well, Justice Thomas, you're exactly right.
That was all that was at issue last time.
And the only thing that has changed is that Respondents have asked for broader relief. And although, you know, we fully accept the Court's prior decision, we -- we -- we submit that Respondents are simply not entitled to any further relief. As you suggest, there's nothing in this Court's decision that contemplates or suggests applying the -- the prohibition on applying the policy requirement to foreign entities overseas, so I think the Court ought to simply analyze the claim under first principles. And, as I said at the outset, I think two simple principles resolve the case. Respondents themselves are not subject to a funding condition, so they can't have an unconstitutional conditions claim, and the foreign entities that are subject to the funding condition have no constitutional rights, so they can't have an unconstitutional condition claim either. We do think that what Respondents are asking for is -- is unjustifiably bootstrapping this Court's prior decision into global relief, and we simply don't think there's any basis for that.",0,1
2019_19-177,j__clarence_thomas,76,"Yes, thank you, Chief Justice. The -- did you have an opportunity in the lower courts to discuss or debate what criteria would be used to determine whether or not the two organizations merge or are close -- affiliated closely enough so that the First Amendment rights apply domestically?",david_w_bowker,"I think the -- the right test here is the risk of attribution.
As this -- as this Court recognized in 2013, there can be a risk of attribution across corporate lines where the entities in question are so clearly identified, as they are here. I think the -- the practical control point is even stronger when those entities speak together with one voice and make their speech and policy decisions together.",1,1
2019_19-177,j__clarence_thomas,78,"Well, if you went that far, could you give us just -- give us a recap of what the criteria would be for that affiliation that would be close enough?",david_w_bowker,"We did, Your Honor. Judge Marrero gave the parties an opportunity to both submit voluminous materials into the record and to explain to him the relationship between these entities. I think, here, what's important is there is no dispute about the relationship here. These entities are clearly identified with one another.
There's no dispute that they share a name, brand, logo, mission, and voice. And I think critically here there was a two-year period where we worked hard to try to settle this case with the government.
We provided extensive factual information to the government during that period.
We also provided lists of the entities involved, and we offered to stipulate to a definition, and the government rejected that -- that effort by us. But we -- we did make a full effort in the district court and then separately with the government to come to terms on this issue.",1,1
2019_19-177,j__clarence_thomas,80,"The -- I understand that.
So the one final question, and I know you've covered this, but it would be helpful if you would give us a recap of what precisely you think your injury is.",david_w_bowker,"Yeah, absolutely.
I think, here, the test should be organizations that are part of a global network that share names, brands, logos, missions, and voices.
And I -- I think the reason that that's the right test is because we're talking about attribution by the reasonable observer. As this Court has recognized in a long line of cases that Justice Sotomayor mentioned and that Justice -- Justices Alito and -- and Breyer previously discussed, a long line of cases recognized that there can be attribution across corporate lines, especially with tightly knit international organizations like these.",1,1
